aX,aY,aZ,gX,gY,gZ
-0.518,-0.269,0.718,3.458,6.465,1.283
-0.531,-0.353,0.659,-9.153,-6.008,12.306
-0.526,-0.368,0.653,-6.695,-0.435,4.046
-0.540,-0.389,0.626,-2.588,-1.046,1.725

-1.147,-1.032,0.383,106.435,18.511,164.122
-1.100,-1.045,0.324,135.107,36.404,128.886
-1.084,-1.075,0.226,254.130,106.649,-27.374
-0.719,-0.326,0.145,429.214,276.649,-187.572
-1.127,-0.554,-0.402,503.260,288.389,-109.481
-0.579,-0.093,-0.419,425.321,340.587,-158.107
0.093,-0.034,-1.558,314.298,349.962,-165.007
0.170,1.465,-2.000,156.588,310.175,-151.618
-1.083,0.922,-0.959,72.893,47.183,86.565
-1.166,1.288,-0.003,-103.870,-24.359,-25.786
-0.744,-0.517,-2.000,-110.954,-199.733,86.733
-1.071,0.297,-1.058,-34.069,-136.084,-8.778
-1.402,0.510,-1.130,-115.214,-77.764,-86.214
-1.470,0.937,-1.390,-178.313,-321.336,-5.374
-1.353,1.938,-1.327,-262.924,-454.161,-8.916
-1.064,0.775,-1.491,-365.672,-499.687,121.786
-0.699,0.707,-0.594,-364.618,-412.832,18.428
1.224,-0.367,-0.878,-265.122,-172.893,-175.862
-0.161,-1.132,0.211,-146.175,-140.191,-133.740
-0.422,-2.000,-2.000,-464.450,-411.962,147.374
-0.240,-0.477,0.213,461.458,319.244,-265.496
-2.000,1.158,2.000,-9.198,114.389,-127.740
-0.542,-0.327,0.751,-35.214,-75.535,82.565
-0.241,-0.672,0.524,-42.435,-69.642,-0.763
-0.135,-1.049,0.359,0.405,-25.642,12.962
-0.180,-0.551,0.631,40.741,46.267,-37.053
-0.317,-0.378,0.769,30.985,19.641,-10.320
-0.278,-0.441,0.765,18.344,0.175,-16.198
-0.170,-0.542,0.680,14.679,-0.313,-0.473
-0.248,-0.552,0.715,16.359,-0.008,-1.572

-0.906,0.517,-1.228,19.855,239.000,-91.496
-1.084,0.478,-1.313,23.779,234.023,-55.755
-1.724,0.311,-1.129,49.290,150.435,34.825
-1.445,0.198,-0.413,60.710,-106.115,19.466
-0.553,0.556,-0.319,4.237,-17.382,-0.504
-1.210,0.050,-0.491,-23.580,8.129,-5.649
-1.001,0.081,-0.429,-36.939,-50.344,-21.160
-1.146,-0.000,-0.459,-31.916,-85.855,37.680
-1.081,0.022,-0.376,-36.725,-70.115,13.069
-1.155,0.025,-0.324,-44.252,-163.092,55.420
-1.109,0.326,-0.119,-75.061,-165.718,32.107
-0.907,0.250,-0.028,-78.679,-199.901,23.802
-1.137,0.252,-0.020,-76.496,-261.367,99.863
-0.887,0.345,0.246,-104.954,-272.115,58.687
-0.749,0.363,0.299,-107.672,-268.787,74.626
-0.565,0.366,0.367,-148.008,-271.779,84.809
-0.311,0.209,0.529,-190.603,-262.496,51.695
0.088,-0.331,0.391,-188.038,-168.390,11.496
0.156,-0.553,0.481,-166.832,-148.802,6.138
0.269,-0.981,0.544,-141.290,-93.809,-2.381
0.153,-1.392,0.356,-151.733,-85.107,63.680
-0.100,-1.962,-0.203,-85.855,-45.367,13.038
0.306,-1.006,0.278,16.344,63.885,-98.672
0.387,-0.586,0.544,36.405,11.809,-5.160
0.376,-0.462,0.732,26.618,-20.680,40.458
0.187,-0.622,0.680,-2.725,2.465,2.168
0.164,-0.694,0.628,-1.488,-0.939,-4.107
0.235,-0.670,0.628,3.901,-6.359,-4.748
0.269,-0.698,0.584,8.970,15.091,-15.542
0.250,-0.650,0.628,13.504,20.496,-13.893

-0.974,0.482,-1.189,37.534,278.282,-35.389
-1.023,0.542,-1.196,49.779,274.511,-44.641
-1.209,0.961,-1.262,49.443,280.832,-45.450
-2.000,0.422,-0.269,-33.275,100.755,95.283
-0.578,0.841,-0.218,41.137,-51.535,-17.985
-0.963,0.213,-0.425,-58.572,32.786,-79.878
-0.948,0.040,-0.592,-28.817,-89.000,49.435
-1.090,0.124,-0.421,-2.191,-22.664,9.985
