aX,aY,aZ,gX,gY,gZ
1.160,0.508,-0.173,6.434,3.560,-10.047
1.042,0.429,-0.180,-2.237,-1.524,-10.307
1.049,0.382,-0.247,1.366,7.468,6.869

0.823,1.415,-0.432,-125.566,-9.051,-113.925
0.933,1.341,-0.099,-108.985,-15.112,-81.604
0.751,1.699,0.134,-133.703,-21.631,-88.475
0.717,1.417,-0.044,-25.413,-5.234,71.770
0.773,1.414,-0.045,-21.550,19.605,181.724
0.692,1.379,-0.119,-6.176,72.125,263.083
0.639,1.227,0.047,-13.001,101.056,322.411
0.499,1.076,0.151,37.488,76.064,427.144
0.566,0.700,0.042,-28.695,107.468,378.503
0.324,0.463,0.029,-105.535,145.590,387.953
-0.022,0.139,-0.094,-129.413,190.781,449.983
-0.415,-0.189,-0.102,-184.711,186.735,291.709
-1.431,-1.420,-0.533,-161.947,132.445,248.518
-1.766,-2.000,-1.088,-28.879,5.147,30.899
-1.175,-1.379,-0.498,196.221,-46.440,-92.307
-0.955,-0.664,-0.021,126.236,-137.891,-201.360
-0.466,-0.036,0.010,76.892,-249.402,-213.070
-0.213,-0.013,-0.148,83.213,-270.165,-309.696
-0.057,0.351,-0.243,-95.932,-359.112,-359.177
0.810,0.884,-0.497,-92.054,-251.631,-337.650
2.000,2.000,-2.000,-234.253,-171.341,-368.780
1.784,1.666,-0.517,-184.665,36.338,-230.413
1.795,1.146,-0.323,14.160,98.170,-54.337
1.765,0.915,-0.164,-12.466,24.445,-42.780
1.085,0.442,0.025,-3.138,43.468,47.877
0.754,0.367,-0.083,37.228,-56.440,7.816
0.830,0.422,-0.255,24.969,-12.639,8.793
0.851,0.521,-0.140,12.877,12.812,6.518
0.877,0.500,-0.140,18.923,6.659,11.693
0.889,0.458,-0.128,-0.512,8.583,-2.810

0.930,1.400,-0.058,-32.283,14.125,3.052
0.891,1.406,0.058,-19.474,10.689,29.434
0.839,1.504,0.067,-2.711,0.735,87.525
0.772,1.440,-0.012,-35.214,26.399,203.220
0.679,1.306,0.117,-31.398,39.941,255.159
0.806,1.542,0.210,65.274,2.125,350.930
0.740,1.648,-0.017,-11.718,81.285,501.602
-0.083,0.797,-0.143,-111.184,154.155,501.602
-0.698,-0.080,-0.183,-119.795,195.605,501.602
-1.753,-1.155,-0.493,-136.283,150.689,286.899
-2.000,-1.877,-1.021,-1.886,0.751,106.670
-0.943,-1.355,-0.361,170.892,-120.562,45.113
-0.541,-0.894,-0.042,73.641,-112.898,-93.131
-0.355,-0.565,0.062,96.862,-139.188,-122.093
-0.472,-0.283,0.226,99.595,-184.975,-304.246
-0.202,0.056,-0.033,19.244,-259.417,-253.406
0.306,0.188,-0.193,35.289,-252.211,-258.673
0.442,0.505,-0.231,-34.924,-281.326,-338.047
1.529,0.657,-0.948,-85.184,-106.685,-299.299
1.165,0.862,-0.603,-139.153,-81.906,-334.429
1.869,1.025,-0.779,-58.375,69.315,-117.788
1.306,0.984,-0.213,-51.459,17.789,-146.444
2.000,1.014,-0.663,-9.031,-43.326,-39.818
1.358,0.731,-0.265,-23.245,85.712,37.144
0.463,0.061,-0.045,38.328,-29.036,-59.513
0.565,0.427,-0.196,3.457,-18.104,14.121
0.650,0.515,-0.202,5.121,5.896,-1.971
0.923,0.497,-0.233,-9.764,28.491,-27.635
1.020,0.593,-0.272,12.328,-19.066,-4.902
1.047,0.546,-0.277,-13.001,6.812,-2.520

1.374,1.042,0.008,-38.054,83.483,120.503
1.264,1.091,-0.075,-52.405,88.766,189.190
1.381,1.015,0.038,-37.901,82.338,179.617
1.414,0.948,-0.073,-6.863,55.697,206.151
1.307,1.027,0.022,-17.871,74.934,276.304
1.269,0.762,-0.000,3.289,69.560,351.006
0.949,0.553,-0.016,-5.901,101.682,365.648
0.449,0.160,-0.113,-46.711,192.308,354.472
-0.159,-0.081,-0.068,-82.421,233.804,302.930
-1.013,-0.396,-0.082,-104.772,142.644,266.167
-1.875,-1.373,-0.323,-75.077,89.086,115.419
-1.671,-1.286,-0.530,23.503,-72.715,22.350
-1.175,-1.062,-0.319,120.038,-133.906,-78.490
-0.834,-0.495,-0.146,66.740,-202.562,-222.169
-0.847,-0.050,-0.023,58.816,-241.524,-266.383
-0.560,0.335,-0.209,-105.810,-354.349,-308.856
0.438,0.478,-0.444,-32.848,-348.685,-253.818
2.000,1.622,-2.000,-312.283,-85.295,-243.207
1.991,0.897,-0.575,-294.253,135.147,69.739
2.000,0.753,-0.390,26.969,34.720,-165.055
1.208,0.244,-0.091,7.915,40.812,-128.933
1.407,0.250,-0.313,20.725,1.667,9.251
1.005,0.257,-0.131,20.389,4.109,-8.887
0.913,0.274,-0.163,1.152,7.254,-9.436
0.866,0.237,-0.198,7.045,14.231,8.380
0.920,0.264,-0.143,0.022,4.064,-3.650
1.012,0.197,-0.204,4.205,-2.257,1.358
1.051,0.191,-0.180,2.801,7.102,-8.383
1.079,0.242,-0.168,4.954,8.415,-10.429
1.018,0.263,-0.136,7.549,5.163,1.480

1.604,0.783,-0.193,-37.230,74.506,11.174
1.674,0.822,-0.188,-38.359,75.728,16.365
1.827,0.959,-0.160,-45.718,120.231,68.151
1.973,1.280,0.064,-51.337,190.873,187.739
2.000,1.413,0.461,-30.879,137.239,369.953
1.375,1.151,0.383,-83.871,229.331,501.602
0.391,0.789,0.008,-79.214,172.796,501.602
